         time                    omegax                   omegay                   omegaz                     bix                      biy                      biz                      bjx                      bjy                      bjz                      bkx                      bky                      bkz
 7.000000000000001e-01   -1.176911616016752e-01    4.832565755301569e-01    3.141592653589793e+02    8.532414788559903e-02    8.237327736949517e-02   -9.929423109939757e-01   -6.013525727276193e-01    7.988504298659169e-01    1.459705365444734e-02    7.944147991198305e-01    5.958629321231314e-01    1.176966144865656e-01
 7.100000000000001e-01    1.669682929245410e-01   -5.653348995052350e-01    3.141592653589793e+02   -8.115696179813550e-02   -7.924286601085073e-02    9.935462323098604e-01    6.024777198083876e-01   -7.980051714131599e-01   -1.443410997620764e-02    7.939988316649492e-01    5.974180400558449e-01    1.125057364364421e-01
 7.200000000000001e-01   -2.239519868505909e-01    6.423388778511353e-01    3.141592653589793e+02    7.636090340964073e-02    7.562673567965167e-02   -9.942080311886065e-01   -6.040240721481485e-01    7.968391848829455e-01    1.422088953264209e-02    7.932993966310214e-01    5.994396635904632e-01    1.065277288783995e-01
 7.300000000000001e-01    2.881220775389159e-01   -7.135533756442455e-01    3.141592653589793e+02   -7.098210383925881e-02   -7.155135286243368e-02    9.949080082284585e-01    6.060493364009019e-01   -7.953045888785726e-01   -1.395753399215427e-02    7.922535848967048e-01    6.019726030411725e-01    9.981604283251257e-02
 7.400000000000001e-01   -3.588916015171206e-01    7.783148136795929e-01    3.141592653589793e+02    6.507317842769542e-02    6.704631900395015e-02   -9.956255684524850e-01   -6.086058654390988e-01    7.933553118309993e-01    1.364733457763606e-02    7.907998368750028e-01    6.050554853048430e-01    9.243093476526126e-02
 7.500000000000001e-01    4.356117721101551e-01   -8.360173322032836e-01    3.141592653589793e+02   -5.869278957133604e-02   -6.214423705380073e-02    9.963399270591908e-01    6.117398653212194e-01   -7.909472380210816e-01   -1.329676058263187e-02    7.888786304801179e-01    6.087204288240582e-01    8.443900700898796e-02
 7.600000000000000e-01   -5.175775318817257e-01    8.861185145424011e-01    3.141592653589793e+02    5.190508975625793e-02    5.688061553733480e-02   -9.970308206030797e-01   -6.154906421878800e-01    7.880383638505863e-01    1.291535819149895e-02    7.864331701013182e-01    6.129927672295225e-01    7.591268859214659e-02
 7.700000000000000e-01    6.040336503879851e-01   -9.281446156428546e-01    3.141592653589793e+02   -4.477904559145097e-02   -5.129380458447184e-02    9.976791982827514e-01    6.198899096714208e-01   -7.845889762266960e-01   -1.251552114190875e-02    7.834100694799111e-01    6.178908350143447e-01    6.692965742755322e-02
 7.800000000000000e-01   -6.941813288980809e-01    9.616952415272735e-01    3.141592653589793e+02    3.738764746256531e-02    4.542495550058258e-02   -9.982678684771505e-01   -6.249611777710303e-01    7.805618632455632e-01    1.211213952988920e-02    7.797600208367246e-01    6.234258184133212e-01    5.757220545554942e-02
 7.900000000000000e-01    7.871852677620766e-01   -9.864474273365634e-01    3.141592653589793e+02   -2.980701340377325e-02   -3.931799300528022e-02    9.987820770202573e-01    6.307192437640116e-01   -7.759225651003533e-01   -1.172213769535357e-02    7.754384421065984e-01    6.296016743895063e-01    4.792654911279000e-02
 8.000000000000000e-01   -8.821811458958524e-01    1.002159064030504e+00    3.141592653589793e+02    2.211539977393044e-02    3.301958730750679e-02   -9.992099959196664e-01   -6.371698045530635e-01    7.706396703820853e-01    1.136391646774741e-02    7.704060937308579e-01    6.364151202535869e-01    3.808208838322465e-02
