         time                    bomegax                  bomegay                  bomegaz                    bix                      biy                      biz                      bjx                      bjy                      bjz                      bkx                      bky                      bkz
 7.600000000000000e-01    2.464930044253778e+02    1.932462126623529e+02    2.437615975558616e+01    5.190508973498362e-02    5.688061549475648e-02   -9.970308206066348e-01   -6.154906421318612e-01    7.880383638949491e-01    1.291535817629096e-02    7.864331701469107e-01    6.129927671759658e-01    7.591268854836475e-02
 7.700000000000000e-01    2.455131363837203e+02    1.948133596344101e+02    2.164082001589737e+01   -4.477904556823343e-02   -5.129380454124950e-02    9.976791982860361e-01    6.198899096193863e-01   -7.845889762684171e-01   -1.251552112668694e-02    7.834100695227592e-01    6.178908349644816e-01    6.692965738185123e-02
 7.800000000000000e-01    2.443418593172781e+02    1.965741265778493e+02    1.879146885918371e+01    3.738764743782743e-02    4.542495545701853e-02   -9.982678684800802e-01   -6.249611777231869e-01    7.805618632844767e-01    1.211213951473654e-02    7.797600208766138e-01    6.234258183672932e-01    5.757220540838206e-02
 7.900000000000000e-01    2.429655362976682e+02    1.985296557551690e+02    1.585435925519682e+01   -2.980701337797182e-02   -3.931799296169195e-02    9.987820770227642e-01    6.307192437205236e-01   -7.759225651363126e-01   -1.172213768035840e-02    7.754384421433224e-01    6.296016743474343e-01    4.792654906476283e-02
 8.000000000000000e-01    2.413721571614470e+02    2.006788809037183e+02    1.285671356622833e+01    2.211539974754332e-02    3.301958726422526e-02   -9.992099959217030e-01   -6.371698045140377e-01    7.706396704149626e-01    1.136391645300116e-02    7.704060937642623e-01    6.364151202155400e-01    3.808208833484855e-02
 8.100000000000001e-01    2.395515150576383e+02    2.030185467445993e+02    9.826483560824727e+00   -1.439213513916548e-02   -2.657911178681064e-02    9.995431042539832e-01    6.443092078426306e-01   -7.646851598238081e-01   -1.105671892184286e-02    7.646296561963024e-01    6.438556959142412e-01    2.813061861966552e-02
 8.200000000000001e-01    2.374953682854736e+02    2.055432511026136e+02    6.792097670497670e+00    6.716497487030801e-03    2.004857167035530e-02   -9.997764467291669e-01   -6.521243570297162e-01    7.580347959157531e-01    1.081994216278878e-02    7.580822591444878e-01    6.519059003830920e-01    1.816550071174907e-02
 8.300000000000001e-01    2.351975846811999e+02    2.082455098377528e+02    3.782197431450944e+00    8.334425890534286e-04   -1.348248824371014e-02    9.999087597791659e-01    6.605927804606371e-01   -7.506685539280105e-01   -1.067241986447148e-02    7.507439535395763e-01    6.605414026794594e-01    8.280795253358595e-03
 8.400000000000001e-01    2.326542658745007e+02    2.111158445259130e+02    8.253653878080568e-01   -8.181986711316794e-03    6.937725441495592e-03   -9.999424598735875e-01   -6.696828728583973e-01    7.425710852857608e-01    1.063170242654371e-02    7.426021174849059e-01    6.697313276699733e-01   -1.429630847270293e-03
 8.500000000000001e-01    2.298638488596375e+02    2.141428925304040e+02   -2.050152941944346e+00    1.525695474946986e-02   -4.732457041165912e-04    9.998834938977389e-01    6.793543107843351e-01   -7.337322020310226e-01   -1.071336176310939e-02    7.336517878053385e-01    6.794386151379573e-01   -1.087301749546240e-02
